,index,success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,prol_id,ctbl,sense_of_control_A,sense_of_control_B,sense_of_control_C,sense_of_control_D,rt,url,stimulus,key_press,is_data_trial,phase,trial,deck1,deck2,col1,col2,sym1,sym2,deck_l,deck_r,chosen_deck,chosen_col,chosen_sym,deck_rt,choose_choice,mutual_info,hidden_key,chosen_card,card_rt,player_num,win_card,outcome,mock_rating,npress,response
0,0,1.0,fullscreen,0,12467,0.0-0.0,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,external-html,1,16296,0.0-1.0,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,2719.5,static/js/sub/consent.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,call-function,2,16299,0.0-2.0,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,image-keyboard-response,3,17840,0.0-3.0-0.0,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,1540.1999998093,,static/images/instructions_CB_3/Slide1.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,image-keyboard-response,4,18307,0.0-3.1-0.1,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,464.5,,static/images/instructions_CB_3/Slide2.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,image-keyboard-response,5,18657,0.0-3.2-0.2,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,347.5999999046,,static/images/instructions_CB_3/Slide3.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,image-keyboard-response,6,19031,0.0-3.3-0.3,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,371.2000000477,,static/images/instructions_CB_3/Slide4.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,image-keyboard-response,7,19401,0.0-3.4-0.4,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,368.7999999523,,static/images/instructions_CB_3/Slide5.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,image-keyboard-response,8,19743,0.0-3.5-0.5,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,339.7999999523,,static/images/instructions_CB_3/Slide6.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,image-keyboard-response,9,20146,0.0-3.6-0.6,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,401.1000001431,,static/images/instructions_CB_3/Slide7.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,image-keyboard-response,10,20521,0.0-3.7-0.7,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,372.4000000954,,static/images/instructions_CB_3/Slide8.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,image-keyboard-response,11,21289,0.0-3.8-0.8,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,766.7000000477,,static/images/instructions_CB_3/Slide9.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,image-keyboard-response,12,22064,0.0-3.9-0.9,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,772.8999998569,,static/images/instructions_CB_3/Slide10.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,image-keyboard-response,13,22806,0.0-3.10-0.10,avgoerpg3vf,2022-09-19 17:13:22.603,616d9ef881036dfbfd63d2f4,3,66,56,68,65,740.2999999523,,static/images/instructions_CB_3/Slide11.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
