"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","looic","looic_se"
"mu_alpha",0.00121791018781284,6.25399577408684e-05,0.00224409981313947,9.19642367139263e-06,0.000182864692890747,0.000570203930364168,0.001445314801688,0.00604801086061618,1287.56502831618,1.00130332734205,18595.4844931725,99.5632386771842
"mu_beta",0.0886500581590077,0.000551286743836186,0.0238883847455183,0.0509793602641721,0.071762848804386,0.0856417549577893,0.101895966737197,0.143943202339887,1877.66655677357,1.00042013621474,18595.4844931725,99.5632386771842
"mu_phi_c",1.96825948169935,0.0104403882700827,0.678244902651367,0.653982492309774,1.51051639911255,1.95606721705031,2.4062682026682,3.32111910583279,4220.26553218623,1.00022865763972,18595.4844931725,99.5632386771842
"mu_phi_mc",1.17240536628225,0.00988079647533167,0.889009955760211,-0.541279370592396,0.554508496037576,1.1794176405558,1.763193297366,2.91554440485989,8095.23277997794,1.0005758183946,18595.4844931725,99.5632386771842
"rho[1,1]",1,NA,0,1,1,1,1,1,NA,NA,18595.4844931725,99.5632386771842
"rho[1,2]",-0.0862328271367685,0.0129160240506023,0.263576517374124,-0.574734565902994,-0.270961257151888,-0.091182187126794,0.0937314736566087,0.439384058686338,416.443167094577,1.00492757221655,18595.4844931725,99.5632386771842
"rho[1,3]",0.288902677001344,0.00561618286566359,0.167250437248463,-0.0524778047256349,0.178541228301063,0.296233327545244,0.408427933862258,0.591153678708214,886.853824595926,1.00043484918761,18595.4844931725,99.5632386771842
"rho[1,4]",-0.167184999143015,0.00496392827004074,0.161620932875057,-0.468907387777431,-0.279530262261125,-0.170554188119852,-0.0583270350668172,0.160642490986464,1060.09362769566,1.00149662278166,18595.4844931725,99.5632386771842
"rho[2,1]",-0.0862328271367685,0.0129160240506023,0.263576517374124,-0.574734565902994,-0.270961257151888,-0.091182187126794,0.0937314736566087,0.439384058686338,416.443167094577,1.00492757221655,18595.4844931725,99.5632386771842
"rho[2,2]",1,1.19873003216813e-18,9.32819263759599e-17,1,1,1,1,1,6055.5311203369,0.999666611092585,18595.4844931725,99.5632386771842
"rho[2,3]",-0.0669989913441249,0.00306767046607933,0.147843446663898,-0.35083006381365,-0.16751699122794,-0.0687934802330766,0.0346900145375691,0.224812290627421,2322.66591616652,1.00014540263514,18595.4844931725,99.5632386771842
"rho[2,4]",-0.0482590868871654,0.00314203008894755,0.152149241455609,-0.34229774389372,-0.152350772101385,-0.0486995256270916,0.0541466352329894,0.251216868602191,2344.87072010849,1.00022281424915,18595.4844931725,99.5632386771842
"rho[3,1]",0.288902677001344,0.00561618286566359,0.167250437248463,-0.0524778047256349,0.178541228301063,0.296233327545244,0.408427933862258,0.591153678708214,886.853824595926,1.00043484918761,18595.4844931725,99.5632386771842
"rho[3,2]",-0.0669989913441249,0.00306767046607933,0.147843446663898,-0.35083006381365,-0.16751699122794,-0.0687934802330766,0.0346900145375691,0.224812290627421,2322.66591616652,1.00014540263514,18595.4844931725,99.5632386771842
"rho[3,3]",1,1.18687252024965e-18,8.89292755453329e-17,1,1,1,1,1,5614.11570908238,0.999666611092585,18595.4844931725,99.5632386771842
"rho[3,4]",-0.785166189544209,0.00164635150898274,0.0678353977146795,-0.890892106912564,-0.834865293899725,-0.793694573112088,-0.745755703816925,-0.626819139415344,1697.72607543044,1.00205640119469,18595.4844931725,99.5632386771842
"rho[4,1]",-0.167184999143015,0.00496392827004074,0.161620932875057,-0.468907387777431,-0.279530262261125,-0.170554188119852,-0.0583270350668172,0.160642490986464,1060.09362769566,1.00149662278166,18595.4844931725,99.5632386771842
"rho[4,2]",-0.0482590868871654,0.00314203008894755,0.152149241455609,-0.34229774389372,-0.152350772101385,-0.0486995256270916,0.0541466352329894,0.251216868602191,2344.87072010849,1.00022281424915,18595.4844931725,99.5632386771842
"rho[4,3]",-0.785166189544209,0.00164635150898274,0.0678353977146795,-0.890892106912564,-0.834865293899725,-0.793694573112088,-0.745755703816925,-0.626819139415344,1697.72607543044,1.00205640119469,18595.4844931725,99.5632386771842
"rho[4,4]",1,1.78398741567406e-19,1.38233171790585e-17,1,1,1,1,1,6004.00400400401,0.999666611092585,18595.4844931725,99.5632386771842
