"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","looic","looic_se"
"mu_alpha",0.000138076263043483,7.57029218001303e-06,0.000239745996302226,1.07652904466285e-06,1.73928907976737e-05,5.65248994882126e-05,0.000160404461585516,0.000727675409165926,1002.94575195288,1.00249514884615,19163.982359173,92.508947029503
"mu_beta",1.42524847050335,0.0290010835335099,1.05854555532815,0.304567792544981,0.702091797439614,1.13254524851081,1.80079019435241,4.33657862239996,1332.26511892346,1.00004779253695,19163.982359173,92.508947029503
"mu_phi_c",0.470582965705821,0.0134413532989403,0.340349888869231,0.0913396175321524,0.23040677251292,0.374993603486888,0.613553450552119,1.39882109912252,641.158247820637,1.00449111375932,19163.982359173,92.508947029503
"rho[1,1]",1,NA,0,1,1,1,1,1,NA,NA,19163.982359173,92.508947029503
"rho[1,2]",0.297927533104259,0.0157002108551977,0.305135550473245,-0.315919692590073,0.0865992062371297,0.307585246633664,0.529092425409152,0.828179276759407,377.724058948717,1.00004103770847,19163.982359173,92.508947029503
"rho[1,3]",-0.02527774508596,0.012429133971213,0.29000643433104,-0.573752521728159,-0.236721989999797,-0.0331956912583063,0.18416845296278,0.534883735888997,544.419320083563,1.00008992436818,19163.982359173,92.508947029503
"rho[2,1]",0.297927533104259,0.0157002108551977,0.305135550473245,-0.315919692590073,0.0865992062371297,0.307585246633664,0.529092425409152,0.828179276759407,377.724058948717,1.00004103770847,19163.982359173,92.508947029503
"rho[2,2]",1,1.16735800172713e-18,8.5801366165472e-17,1,1,1,1,1,5402.31964181122,0.999666611092585,19163.982359173,92.508947029503
"rho[2,3]",-0.378377861096501,0.00517988374477387,0.170811089743647,-0.703273666355779,-0.497960710063523,-0.38895438380088,-0.265582132592912,-0.0227362580791263,1087.4069424331,1.0005456486557,19163.982359173,92.508947029503
"rho[3,1]",-0.02527774508596,0.012429133971213,0.29000643433104,-0.573752521728159,-0.236721989999797,-0.0331956912583063,0.18416845296278,0.534883735888997,544.419320083563,1.00008992436818,19163.982359173,92.508947029503
"rho[3,2]",-0.378377861096501,0.00517988374477387,0.170811089743647,-0.703273666355779,-0.497960710063523,-0.38895438380088,-0.265582132592912,-0.0227362580791263,1087.4069424331,1.0005456486557,19163.982359173,92.508947029503
"rho[3,3]",1,1.10392364713806e-18,7.81702104078914e-17,1,1,1,1,1,5014.23274804072,0.999666611092585,19163.982359173,92.508947029503
