"","X","index","success","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","prol_id","ctbl","sense_of_control_A","sense_of_control_B","sense_of_control_C","sense_of_control_D","age","gender","rt","url","stimulus","key_press","npress","is_data_trial","phase","trial","deck1","deck2","col1","col2","sym1","sym2","deck_l","deck_r","chosen_deck","chosen_col","chosen_sym","deck_rt","choose_choice","mutual_info","hidden_key","chosen_card","card_rt","player_num","win_card","outcome","mock_rating","response","responses","pair","soc_split_A","soc_split_B","soc_split_C","soc_split_D","choice_pair","mi_pair"
"153",152,0,NA,"html-keyboard-response",152,616507,"0.0-7.0-4.0","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",0,"A","B","black","red","moons","moons","A","B","A","black","moons",2847.700000003,0,0,1,"",NA,4,0,1,NA,NA,"","AB",1,0,1,1,"10","11"
"163",162,0,NA,"html-keyboard-response",162,630791,"0.0-7.2-4.2","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",2,"B","D","red","red","stars","moons","D","B","B","red","moons",2656.799999997,0,1,0,"right",1172.5,7,1,1,NA,NA,"","BD",1,0,1,1,"00","01"
"168",167,0,NA,"html-keyboard-response",167,637330,"0.0-7.3-4.3","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",3,"A","C","black","black","moons","stars","A","C","C","black","stars",1398.8999999911,1,0,NA,"right",1093,2,0,0,NA,NA,"","AC",1,0,1,1,"11","10"
"173",172,0,NA,"html-keyboard-response",172,644349,"0.0-7.4-4.4","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",4,"B","C","black","red","stars","moons","C","B","C","black","stars",1691.8999999911,1,0,NA,"right",1264.700000003,1,0,0,NA,NA,"","BC",1,0,1,1,"10","01"
"178",177,0,NA,"html-keyboard-response",177,650891,"0.0-7.5-4.5","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",5,"A","D","red","black","stars","moons","D","A","D","red","stars",1360.599999994,0,0,0,"right",1120,7,1,1,NA,NA,"","AD",1,0,1,1,"10","10"
"183",182,0,NA,"html-keyboard-response",182,657084,"0.0-7.6-4.6","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",6,"C","D","black","red","stars","stars","C","D","C","black","stars",1139,1,0,NA,"right",1012.799999997,8,1,1,NA,NA,"","CD",1,0,1,1,"10","00"
"188",187,0,NA,"html-keyboard-response",187,662778,"0.0-7.7-4.7","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",7,"B","C","black","red","stars","moons","C","B","C","black","stars",922.1000000089,1,0,NA,"right",706.200000003,4,0,1,NA,NA,"","BC",1,0,1,1,"10","01"
"193",192,0,NA,"html-keyboard-response",192,669016,"0.0-7.8-4.8","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",8,"C","D","red","black","stars","stars","D","C","C","black","stars",1235.299999997,1,0,NA,"right",952.700000003,8,1,1,NA,NA,"","CD",1,0,1,1,"10","00"
"198",197,0,NA,"html-keyboard-response",197,675310,"0.0-7.9-4.9","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",9,"B","C","black","red","stars","moons","C","B","C","black","stars",1277.700000003,1,0,NA,"right",948.599999994,4,0,0,NA,NA,"","BC",1,0,1,1,"10","01"
"203",202,0,NA,"html-keyboard-response",202,681156,"0.0-7.10-4.10","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",10,"A","D","black","red","moons","stars","A","D","A","black","moons",703.700000003,1,1,NA,"right",1087.5,9,1,1,NA,NA,"","AD",1,0,1,1,"10","10"
